     Instance   ,    Module   ,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks 
 Decoder        ,        (top),       400,       400,      0,   0, 81,     0,     0,   0,           0 
   (Decoder)    ,        (top),       279,       279,      0,   0, 81,     0,     0,   0,           0 
   LookUpTable_2,LookUpTable_2,        90,        90,      0,   0,  0,     0,     0,   0,           0 
   LookUpTable_3,LookUpTable_3,        31,        31,      0,   0,  0,     0,     0,   0,           0 
